2025-02-15 16:52:01 status half-installed libassuan0:i386 2.5.2-1
2025-02-15 16:52:01 status unpacked libassuan0:i386 2.5.2-1
2025-02-15 16:52:01 install gpgconf:i386 <none> 2.2.12-1+deb10u2
2025-02-15 16:52:01 status half-installed gpgconf:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 status unpacked gpgconf:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 install lsb-base:all <none> 10.2019051400
2025-02-15 16:52:01 status half-installed lsb-base:all 10.2019051400
2025-02-15 16:52:01 status unpacked lsb-base:all 10.2019051400
2025-02-15 16:52:01 install libksba8:i386 <none> 1.3.5-2+deb10u2
2025-02-15 16:52:01 status half-installed libksba8:i386 1.3.5-2+deb10u2
2025-02-15 16:52:01 status unpacked libksba8:i386 1.3.5-2+deb10u2
2025-02-15 16:52:01 install libsasl2-modules-db:i386 <none> 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:01 status half-installed libsasl2-modules-db:i386 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:01 status unpacked libsasl2-modules-db:i386 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:01 install libsasl2-2:i386 <none> 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:01 status half-installed libsasl2-2:i386 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:01 status unpacked libsasl2-2:i386 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:01 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u7
2025-02-15 16:52:01 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u7
2025-02-15 16:52:01 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u7
2025-02-15 16:52:01 install libldap-2.4-2:i386 <none> 2.4.47+dfsg-3+deb10u7
2025-02-15 16:52:01 status half-installed libldap-2.4-2:i386 2.4.47+dfsg-3+deb10u7
2025-02-15 16:52:01 status unpacked libldap-2.4-2:i386 2.4.47+dfsg-3+deb10u7
2025-02-15 16:52:01 install libnpth0:i386 <none> 1.6-1
2025-02-15 16:52:01 status half-installed libnpth0:i386 1.6-1
2025-02-15 16:52:01 status unpacked libnpth0:i386 1.6-1
2025-02-15 16:52:01 install dirmngr:i386 <none> 2.2.12-1+deb10u2
